,Unnamed: 0,pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
0,0,1,tcp,192.168.100.147,49960,192.168.100.7,80,9,0.068909,75,0.0,1,0.068909,96,14.511892999999999,0.566862,0.137818,1,DoS,HTTP
1,1,2,arp,192.168.100.7,-1,192.168.100.147,-1,10,0.0,2,0.000131,2,0.000131,1,0.0,0.0,0.000131,1,DoS,HTTP
2,2,3,tcp,192.168.100.147,49962,192.168.100.7,80,11,0.06449400000000001,75,0.0,1,0.06449400000000001,96,15.505319,0.567549,0.12898800000000002,1,DoS,HTTP
3,3,4,tcp,192.168.100.147,49964,192.168.100.7,80,12,0.064189,75,0.0,1,0.064189,96,15.578992999999999,0.56757,0.128378,1,DoS,HTTP
4,4,5,tcp,192.168.100.147,49966,192.168.100.7,80,13,0.063887,75,0.0,1,0.063887,96,15.652637,0.56763,0.127774,1,DoS,HTTP
5,5,6,tcp,192.168.100.147,49968,192.168.100.7,80,14,0.063579,75,0.0,1,0.063579,96,15.728587,0.56765,0.127157,1,DoS,HTTP
6,6,7,tcp,192.168.100.147,49970,192.168.100.7,80,15,0.06306,75,0.0,1,0.06306,96,15.858039000000002,0.5676680000000001,0.126119,1,DoS,HTTP
7,7,8,tcp,192.168.100.147,49972,192.168.100.7,80,16,0.062963,75,0.0,1,0.062963,96,15.882342999999999,0.567692,0.125926,1,DoS,HTTP
8,8,9,tcp,192.168.100.147,49974,192.168.100.7,80,17,0.06290599999999999,75,0.0,1,0.06290599999999999,96,15.896735000000001,0.567711,0.12581199999999998,1,DoS,HTTP
9,9,10,tcp,192.168.100.147,49976,192.168.100.7,80,18,0.061111,75,0.0,1,0.061111,96,16.3638,0.5680109999999999,0.12222100000000001,1,DoS,HTTP
10,10,11,tcp,192.168.100.147,49978,192.168.100.7,80,19,0.060784000000000005,75,0.0,1,0.060784000000000005,96,16.451698,0.568076,0.12156800000000001,1,DoS,HTTP
11,11,12,tcp,192.168.100.147,49980,192.168.100.7,80,20,0.199734,75,0.0,1,0.199734,96,5.006659,0.568131,0.399468,1,DoS,HTTP
12,12,13,tcp,192.168.100.147,49982,192.168.100.7,80,21,0.7148180000000001,75,0.0,1,0.7148180000000001,96,1.398958,0.568159,1.429635,1,DoS,HTTP
13,13,14,tcp,192.168.100.147,49984,192.168.100.7,80,22,0.714741,75,0.0,1,0.714741,96,1.399109,0.568185,1.429481,1,DoS,HTTP
14,14,15,tcp,192.168.100.147,49986,192.168.100.7,80,23,1.228209,75,0.0,1,1.228209,96,0.814194,0.5682119999999999,2.456418,1,DoS,HTTP
15,15,16,tcp,192.168.100.147,49988,192.168.100.7,80,24,1.232485,75,0.0,1,1.232485,96,0.811369,0.5682649999999999,2.46497,1,DoS,HTTP
16,16,17,tcp,192.168.100.147,49990,192.168.100.7,80,25,1.237011,75,0.0,1,1.237011,96,1.2126,0.710384,2.474022,1,DoS,HTTP
17,17,18,tcp,192.168.100.147,49992,192.168.100.7,80,26,1.237327,75,0.0,1,1.237327,96,0.808194,0.5683729999999999,2.474653,1,DoS,HTTP
18,18,19,tcp,192.168.100.147,49994,192.168.100.7,80,27,1.7510830000000002,75,0.0,1,1.7510830000000002,96,0.571075,0.568409,3.5021660000000003,1,DoS,HTTP
19,19,20,tcp,192.168.100.147,49996,192.168.100.7,80,28,1.755295,75,0.0,1,1.755295,96,0.569705,0.568477,3.51059,1,DoS,HTTP
20,20,21,tcp,192.168.100.147,49998,192.168.100.7,80,29,1.759441,75,0.0,1,1.759441,96,0.568362,0.568523,3.518883,1,DoS,HTTP
21,21,22,tcp,192.168.100.147,50000,192.168.100.7,80,30,1.7592720000000002,75,0.0,1,1.7592720000000002,96,0.5684170000000001,0.568562,3.518543,1,DoS,HTTP
22,22,23,tcp,192.168.100.147,50002,192.168.100.7,80,31,1.764084,75,0.0,1,1.764084,96,0.566866,0.569172,3.528169,1,DoS,HTTP
23,23,24,tcp,192.168.100.147,50004,192.168.100.7,80,32,1.7681349999999998,75,0.0,1,1.7681349999999998,96,0.5655680000000001,0.5692050000000001,3.5362699999999996,1,DoS,HTTP
24,24,25,tcp,192.168.100.147,50006,192.168.100.7,80,33,1.770982,75,0.0,1,1.770982,96,0.564659,0.569242,3.5419629999999995,1,DoS,HTTP
25,25,26,tcp,192.168.100.147,50008,192.168.100.7,80,34,1.7722349999999998,75,0.0,1,1.7722349999999998,96,0.5642590000000001,0.5692699999999999,3.5444690000000003,1,DoS,HTTP
26,26,27,tcp,192.168.100.147,50010,192.168.100.7,80,35,2.287254,75,0.0,1,2.287254,96,0.437205,0.5693050000000001,4.574508,1,DoS,HTTP
27,27,28,tcp,192.168.100.147,50012,192.168.100.7,80,36,2.290204,75,0.0,1,2.290204,96,0.43664200000000003,0.569366,4.580407,1,DoS,HTTP
28,28,29,tcp,192.168.100.147,50014,192.168.100.7,80,37,2.295114,75,0.0,1,2.295114,96,0.435708,0.569388,4.590228,1,DoS,HTTP
29,29,30,tcp,192.168.100.147,50016,192.168.100.7,80,38,2.299771,75,0.0,1,2.299771,96,0.43482600000000005,0.569453,4.599541,1,DoS,HTTP
30,30,31,tcp,192.168.100.147,50018,192.168.100.7,80,39,2.301371,75,0.0,1,2.301371,96,0.43452399999999997,0.569488,4.602742,1,DoS,HTTP
31,31,32,tcp,192.168.100.147,50020,192.168.100.7,80,40,2.311155,75,0.0,1,2.311155,96,0.432684,0.569517,4.622309,1,DoS,HTTP
32,32,33,tcp,192.168.100.147,50022,192.168.100.7,80,41,2.3142720000000003,75,0.0,1,2.3142720000000003,96,0.432101,0.56955,4.628544000000001,1,DoS,HTTP
33,33,34,tcp,192.168.100.147,50024,192.168.100.7,80,42,2.319012,75,0.0,1,2.319012,96,0.43121800000000005,0.569589,4.638025,1,DoS,HTTP
34,34,35,tcp,192.168.100.147,50026,192.168.100.7,80,43,2.323793,75,0.0,1,2.323793,96,0.430331,0.5696359999999999,4.647586,1,DoS,HTTP
35,35,36,tcp,192.168.100.147,50028,192.168.100.7,80,44,2.325381,75,0.0,1,2.325381,96,0.430037,0.569678,4.650762,1,DoS,HTTP
36,36,37,tcp,192.168.100.147,50030,192.168.100.7,80,45,2.335138,75,0.0,1,2.335138,96,0.42823999999999995,0.5697180000000001,4.670276,1,DoS,HTTP
37,37,38,tcp,192.168.100.147,50032,192.168.100.7,80,46,2.338222,75,0.0,1,2.338222,96,0.427675,0.56975,4.676443,1,DoS,HTTP
38,38,39,tcp,192.168.100.147,50034,192.168.100.7,80,47,2.342937,75,0.0,1,2.342937,96,0.42681499999999994,0.5698,4.685874,1,DoS,HTTP
39,39,40,tcp,192.168.100.147,50036,192.168.100.7,80,48,2.34764,75,0.0,1,2.34764,96,0.42596000000000006,0.56985,4.695279,1,DoS,HTTP
40,40,41,tcp,192.168.100.147,50038,192.168.100.7,80,49,2.3492,75,0.0,1,2.3492,96,0.425677,0.569892,4.6984010000000005,1,DoS,HTTP
41,41,42,tcp,192.168.100.147,50040,192.168.100.7,80,50,2.353919,75,0.0,1,2.353919,96,0.424824,0.56994,4.7078370000000005,1,DoS,HTTP
42,42,43,tcp,192.168.100.147,50042,192.168.100.7,80,51,0.643516,75,0.000126,1,0.643642,96,0.34899600000000003,0.569973,1.287158,1,DoS,HTTP
43,43,44,tcp,192.168.100.147,50044,192.168.100.7,80,52,0.6394,75,0.000133,1,0.639533,96,0.348515,0.569999,1.278933,1,DoS,HTTP
44,44,45,tcp,192.168.100.147,50046,192.168.100.7,80,53,0.6370279999999999,75,0.000134,1,0.637162,96,0.34825700000000004,0.570037,1.27419,1,DoS,HTTP
45,45,46,tcp,192.168.100.147,50048,192.168.100.7,80,54,0.631981,75,0.00014199999999999998,1,0.632123,96,0.34767600000000004,0.570078,1.264103,1,DoS,HTTP
46,46,47,tcp,192.168.100.147,50050,192.168.100.7,80,55,0.631045,75,0.000133,1,0.631178,96,0.347588,0.570112,1.262224,1,DoS,HTTP
47,47,48,tcp,192.168.100.147,50052,192.168.100.7,80,56,0.622744,75,0.000128,1,0.622872,96,0.346617,0.570152,1.245616,1,DoS,HTTP
48,48,49,tcp,192.168.100.147,50054,192.168.100.7,80,57,0.618514,75,0.000153,1,0.6186659999999999,96,0.346145,0.570198,1.23718,1,DoS,HTTP
49,49,50,tcp,192.168.100.147,50056,192.168.100.7,80,58,0.614205,75,0.000121,1,0.614326,96,0.34565300000000004,0.570232,1.228531,1,DoS,HTTP
50,50,51,tcp,192.168.100.147,50058,192.168.100.7,80,59,0.611834,75,0.000138,1,0.6119720000000001,96,0.345407,0.570281,1.223806,1,DoS,HTTP
51,51,52,tcp,192.168.100.147,50060,192.168.100.7,80,60,0.609618,75,0.0005059999999999999,1,0.610124,96,0.34519099999999997,0.570317,1.219742,1,DoS,HTTP
52,52,53,tcp,192.168.100.147,50062,192.168.100.7,80,61,0.6018979999999999,75,0.000121,1,0.602019,96,0.344279,0.5703560000000001,1.203917,1,DoS,HTTP
53,53,54,tcp,192.168.100.147,50064,192.168.100.7,80,62,0.5974119999999999,75,0.000129,1,0.597541,96,0.343789,0.570412,1.1949530000000002,1,DoS,HTTP
54,54,55,tcp,192.168.100.147,50066,192.168.100.7,80,63,0.592853,75,0.000144,1,0.592997,96,0.343281,0.570453,1.18585,1,DoS,HTTP
55,55,56,tcp,192.168.100.147,50068,192.168.100.7,80,64,0.591716,75,0.000132,1,0.591847,96,0.343175,0.570491,1.183563,1,DoS,HTTP
56,56,57,tcp,192.168.100.147,50070,192.168.100.7,80,65,0.588406,75,0.000124,1,0.58853,96,0.342814,0.5705319999999999,1.176936,1,DoS,HTTP
57,57,58,tcp,192.168.100.147,50072,192.168.100.7,80,66,0.5799979999999999,75,0.000133,1,0.5801310000000001,96,0.341878,0.570599,1.1601290000000002,1,DoS,HTTP
58,58,59,tcp,192.168.100.147,50074,192.168.100.7,80,67,0.5765819999999999,75,0.00016299999999999998,1,0.5767439999999999,96,0.341516,0.570649,1.153326,1,DoS,HTTP
59,59,60,tcp,192.168.100.147,50076,192.168.100.7,80,68,0.571797,75,0.00015,1,0.571947,96,0.34098,0.57068,1.143745,1,DoS,HTTP
60,60,61,tcp,192.168.100.147,50078,192.168.100.7,80,69,0.567639,75,0.000131,1,0.56777,96,0.340523,0.570717,1.135408,1,DoS,HTTP
61,61,62,tcp,192.168.100.147,50080,192.168.100.7,80,70,0.567639,75,0.000118,1,0.567757,96,0.340542,0.570745,1.135397,1,DoS,HTTP
62,62,63,tcp,192.168.100.147,50082,192.168.100.7,80,71,0.55924,75,0.000138,1,0.5593779999999999,96,0.339592,0.5707720000000001,1.118617,1,DoS,HTTP
63,63,64,tcp,192.168.100.147,50084,192.168.100.7,80,72,0.556507,75,0.00011499999999999999,1,0.5566220000000001,96,0.33929499999999996,0.5708,1.113129,1,DoS,HTTP
64,64,65,tcp,192.168.100.147,50086,192.168.100.7,80,73,0.551455,75,0.00011599999999999999,1,0.551571,96,0.33873400000000004,0.570829,1.103026,1,DoS,HTTP
65,65,66,tcp,192.168.100.147,50088,192.168.100.7,80,74,0.546862,75,0.000113,1,0.546975,96,0.338223,0.57085,1.0938370000000002,1,DoS,HTTP
66,66,67,tcp,192.168.100.147,50090,192.168.100.7,80,75,0.546786,75,0.000124,1,0.54691,96,0.338233,0.570876,1.093696,1,DoS,HTTP
67,67,68,tcp,192.168.100.147,50092,192.168.100.7,80,76,0.538405,75,0.000153,1,0.538558,96,0.33729699999999996,0.5709029999999999,1.076963,1,DoS,HTTP
68,68,69,tcp,192.168.100.147,50094,192.168.100.7,80,77,0.533936,75,0.000135,1,0.5340699999999999,96,0.336806,0.5709270000000001,1.068006,1,DoS,HTTP
69,69,70,tcp,192.168.100.147,50096,192.168.100.7,80,78,0.5313329999999999,75,0.000117,1,0.53145,96,0.336539,0.570969,1.062783,1,DoS,HTTP
70,70,71,tcp,192.168.100.147,50098,192.168.100.7,80,79,0.5262859999999999,75,0.000124,1,0.52641,96,0.335989,0.570998,1.052697,1,DoS,HTTP
71,71,72,tcp,192.168.100.147,50100,192.168.100.7,80,80,0.5251560000000001,75,0.000123,1,0.525279,96,0.33588,0.571025,1.050435,1,DoS,HTTP
72,72,73,tcp,192.168.100.147,50102,192.168.100.7,80,81,0.516644,75,0.000131,1,0.516775,96,0.334947,0.5710609999999999,1.03342,1,DoS,HTTP
73,73,74,tcp,192.168.100.147,50104,192.168.100.7,80,82,0.516582,75,0.000126,1,0.516708,96,0.334958,0.571087,1.03329,1,DoS,HTTP
74,74,75,tcp,192.168.100.147,50106,192.168.100.7,80,83,0.004755,75,0.00011599999999999999,1,0.004871,96,0.285559,0.571118,0.009626000000000001,1,DoS,HTTP
75,75,76,tcp,192.168.100.147,50108,192.168.100.7,80,84,0.001279,75,0.000118,1,0.001397,96,0.285573,0.5711470000000001,0.002675,1,DoS,HTTP
76,76,77,tcp,192.168.100.148,55062,192.168.100.6,80,85,0.0,22,0.00035800000000000003,1,0.00035800000000000003,1,0.0,0.0,0.00035800000000000003,1,DoS,HTTP
77,77,78,arp,192.168.100.6,-1,192.168.100.148,-1,86,0.0,1,0.000127,2,0.000127,2,0.0,0.0,0.000127,1,DoS,HTTP
78,78,79,tcp,192.168.100.148,51832,192.168.100.7,80,87,0.015697,22,0.00892,1,0.024617,96,0.267901,0.535802,0.040315,1,DoS,HTTP
79,79,80,arp,192.168.100.7,-1,192.168.100.148,-1,88,4.1e-05,2,9.300000000000001e-05,2,0.000135,2,0.000643,0.000643,0.000176,1,DoS,HTTP
80,80,81,tcp,192.168.100.148,51834,192.168.100.7,80,89,0.018295,22,0.000175,1,0.018469,96,0.268226,0.536452,0.036764,1,DoS,HTTP
81,81,82,tcp,192.168.100.148,51836,192.168.100.7,80,90,0.018254,22,0.000167,1,0.018422,96,0.26823800000000003,0.5364760000000001,0.036676,1,DoS,HTTP
82,82,83,tcp,192.168.100.148,51838,192.168.100.7,80,91,0.017849,22,0.000731,1,0.018579,96,0.26824699999999996,0.5364939999999999,0.036427999999999995,1,DoS,HTTP
83,83,84,tcp,192.168.100.148,51840,192.168.100.7,80,92,0.016498,22,0.000279,1,0.016777,96,0.268283,0.536566,0.033275,1,DoS,HTTP
84,84,85,tcp,192.168.100.148,51842,192.168.100.7,80,93,0.018206,22,0.000181,1,0.018387999999999998,96,0.26829400000000003,0.5365880000000001,0.036594,1,DoS,HTTP
85,85,86,tcp,192.168.100.148,51844,192.168.100.7,80,94,0.015372,22,0.000166,1,0.015538,96,0.268304,0.536608,0.030910000000000003,1,DoS,HTTP
86,86,87,tcp,192.168.100.148,51846,192.168.100.7,80,95,0.01712,22,0.000732,1,0.017852,96,0.268317,0.536634,0.034972,1,DoS,HTTP
87,87,88,tcp,192.168.100.148,51848,192.168.100.7,80,96,0.015912,22,0.000202,1,0.016114,96,0.268341,0.5366810000000001,0.032026,1,DoS,HTTP
88,88,89,tcp,192.168.100.148,51850,192.168.100.7,80,97,0.01741,22,0.000924,1,0.018334,96,0.268353,0.536706,0.035743000000000004,1,DoS,HTTP
89,89,90,tcp,192.168.100.148,51852,192.168.100.7,80,98,0.017208,22,0.000466,1,0.017675,96,0.26839,0.536779,0.034883,1,DoS,HTTP
90,90,91,tcp,192.168.100.148,51854,192.168.100.7,80,99,0.016732,22,0.00034700000000000003,1,0.017079,96,0.268405,0.5368109999999999,0.033811,1,DoS,HTTP
91,91,92,tcp,192.168.100.148,51856,192.168.100.7,80,100,0.017106,22,0.00045,1,0.017556,96,0.268415,0.5368310000000001,0.034663,1,DoS,HTTP
92,92,93,tcp,192.168.100.148,51858,192.168.100.7,80,101,0.016085,22,0.00020899999999999998,1,0.016294,96,0.268428,0.5368569999999999,0.03238,1,DoS,HTTP
93,93,94,tcp,192.168.100.148,51860,192.168.100.7,80,102,0.016388999999999997,22,0.00035499999999999996,1,0.016744,96,0.26844,0.53688,0.033132999999999996,1,DoS,HTTP
94,94,95,tcp,192.168.100.148,51862,192.168.100.7,80,103,0.016944999999999998,22,0.0005780000000000001,1,0.017523,96,0.268451,0.536902,0.034468,1,DoS,HTTP
95,95,96,tcp,192.168.100.148,51864,192.168.100.7,80,104,0.015931,22,0.000466,1,0.016397,96,0.268469,0.536938,0.032327999999999996,1,DoS,HTTP
96,96,97,tcp,192.168.100.148,51866,192.168.100.7,80,105,0.016802,22,0.000466,1,0.017268000000000002,96,0.268482,0.536964,0.034071,1,DoS,HTTP
97,97,98,tcp,192.168.100.148,51868,192.168.100.7,80,106,0.016175,22,0.0005110000000000001,1,0.016687,96,0.268497,0.536994,0.032862,1,DoS,HTTP
98,98,99,tcp,192.168.100.148,51870,192.168.100.7,80,107,0.017776,22,0.000515,1,0.01829,96,0.268512,0.537025,0.036066,1,DoS,HTTP
99,99,100,tcp,192.168.100.148,51872,192.168.100.7,80,108,0.016738999999999997,22,0.000206,1,0.016944999999999998,96,0.268529,0.537058,0.033684,1,DoS,HTTP
